account_id,account_name,plan_tier,arr_amount,risk_score,total_features_used,high_priority_ratio,downgrade_flag,days_since_activity
A-1e1b80,Company_416,Enterprise,119400,8,13.0,0.5,False,0
A-1e1b80,Company_416,Enterprise,119400,8,13.0,0.5,False,0
A-82d8a6,Company_444,Enterprise,64476,8,19.0,0.4,False,0
A-4a4c2d,Company_473,Basic,12312,8,19.0,0.4,False,0
A-1d5444,Company_427,Basic,0,8,23.0,1.0,False,0
A-d3c88e,Company_490,Basic,4788,8,17.0,0.6666666666666666,False,0
A-b2225d,Company_50,Enterprise,0,8,64.0,1.0,True,0
A-b2225d,Company_50,Enterprise,0,8,64.0,1.0,True,0
A-b2225d,Company_50,Enterprise,0,8,64.0,1.0,True,0
A-e1b9cd,Company_484,Basic,9120,8,75.0,1.0,True,0
A-6dee43,Company_478,Basic,5244,8,27.0,0.4,False,0
A-c16b88,Company_431,Enterprise,107460,8,32.0,0.6666666666666666,False,0
A-692f18,Company_195,Enterprise,40596,8,55.0,0.5,True,0
A-4d1e75,Company_58,Pro,11760,8,28.0,0.0,True,0
A-c16101,Company_139,Enterprise,16716,8,37.0,0.75,True,0
A-c16101,Company_139,Enterprise,16716,8,37.0,0.75,True,0
A-186a44,Company_101,Enterprise,47760,8,29.0,0.5714285714285714,False,0
A-7df7a7,Company_125,Enterprise,23880,8,19.0,0.6666666666666666,False,0
A-d5a319,Company_158,Enterprise,74028,8,24.0,0.0,True,0
A-118d55,Company_65,Basic,4104,8,19.0,0.2,True,0
A-118d55,Company_65,Basic,4104,8,19.0,0.2,True,0
A-396e5f,Company_30,Pro,21756,8,10.0,0.6,False,0
A-d3c88e,Company_490,Enterprise,38208,8,31.0,0.6666666666666666,False,0
A-1b9609,Company_5,Basic,4104,8,30.0,0.5,False,0
A-10b8da,Company_9,Enterprise,33432,8,7.0,0.6666666666666666,False,0
A-df1e44,Company_323,Enterprise,28656,8,26.0,0.5,False,0
A-bc4d48,Company_343,Enterprise,83580,8,31.0,0.5,False,0
A-6e08f3,Company_220,Pro,4704,8,30.0,0.0,True,0
A-ccb686,Company_491,Pro,8232,8,17.0,1.0,False,0
A-ccb686,Company_491,Pro,8232,8,17.0,1.0,False,0
A-ccb686,Company_491,Pro,8232,8,17.0,1.0,False,0
A-53f4e3,Company_194,Basic,4104,8,32.0,0.4,False,0
A-22f2df,Company_106,Pro,4704,8,22.0,0.6,False,0
A-544d0a,Company_153,Enterprise,11940,8,28.0,0.0,True,0
A-9123ac,Company_219,Enterprise,0,8,23.0,0.16666666666666666,True,0
A-9289f6,Company_104,Pro,14700,8,30.0,0.5,False,0
A-9123ac,Company_219,Enterprise,0,8,23.0,0.16666666666666666,True,0
A-781cc0,Company_499,Pro,11760,8,30.0,0.75,False,0
A-781cc0,Company_499,Pro,11760,8,30.0,0.75,False,0
A-309e54,Company_371,Enterprise,140892,8,20.0,0.2,True,0
A-7da956,Company_141,Enterprise,35820,8,15.0,0.0,True,0
A-7dacce,Company_8,Enterprise,35820,8,32.0,0.75,False,0
A-ad64c6,Company_175,Enterprise,28656,8,32.0,0.5,False,0
A-f03140,Company_209,Enterprise,64476,8,25.0,0.14285714285714285,True,0
A-ad64c6,Company_175,Enterprise,28656,8,32.0,0.5,False,0
A-42e5e1,Company_118,Pro,5880,8,29.0,0.6666666666666666,False,0
A-54d94a,Company_385,Pro,15876,8,32.0,0.0,True,0
A-7c4956,Company_254,Basic,2052,8,6.0,0.6666666666666666,False,0
A-c45b23,Company_75,Basic,1596,8,17.0,0.6666666666666666,False,0
A-e60f9d,Company_178,Enterprise,114624,8,21.0,0.0,True,0
A-940b8b,Company_398,Enterprise,76416,8,13.0,0.3333333333333333,True,0
A-7c5768,Company_407,Basic,1824,8,29.0,0.4,False,0
A-3b5cd1,Company_49,Pro,0,8,0.0,0.0,True,0
A-3b5cd1,Company_49,Pro,0,8,0.0,0.0,True,0
A-3b5cd1,Company_49,Pro,0,8,0.0,0.0,True,0
A-7dacce,Company_8,Enterprise,35820,8,32.0,0.75,False,0
A-726cfa,Company_82,Pro,12348,8,15.0,0.6666666666666666,False,0
A-7dacce,Company_8,Enterprise,35820,8,32.0,0.75,False,0
A-df1e44,Company_323,Enterprise,28656,8,26.0,0.5,False,0
A-7e0a10,Company_64,Basic,10488,8,26.0,0.4,False,0
A-337bc1,Company_424,Pro,50568,8,65.0,0.5,True,0
A-7e0a10,Company_64,Pro,27048,8,10.0,0.4,False,0
A-337bc1,Company_424,Pro,50568,8,65.0,0.5,True,0
A-c7ffc2,Company_392,Basic,12996,7,19.0,0.5,False,0
A-c7ffc2,Company_392,Basic,12996,7,19.0,0.5,False,0
A-96e141,Company_134,Enterprise,33432,7,26.0,0.4,False,0
A-76fa4d,Company_226,Enterprise,164772,7,27.0,0.4,False,0
A-425e76,Company_110,Basic,3192,7,11.0,0.6,False,0
A-76fa4d,Company_226,Enterprise,164772,7,27.0,0.4,False,0
A-462d45,Company_13,Enterprise,124176,7,77.0,0.5,True,0
A-96e141,Company_134,Enterprise,33432,7,26.0,0.4,False,0
A-ad64c6,Company_175,Basic,0,7,9.0,0.5,False,0
A-fe79a5,Company_81,Enterprise,21492,7,9.0,0.5,False,0
A-396e5f,Company_30,Pro,31164,7,25.0,0.6,False,0
A-f6b2fb,Company_418,Enterprise,0,7,29.0,0.4,False,0
A-fda07f,Company_230,Enterprise,38208,7,22.0,0.4,False,0
A-425e76,Company_110,Basic,3192,7,11.0,0.6,False,0
A-2ebb4b,Company_334,Enterprise,97908,7,32.0,0.5,False,0
A-186a44,Company_101,Basic,4560,7,27.0,0.5714285714285714,False,0
A-ccabf0,Company_471,Enterprise,140892,7,10.0,0.5,False,0
A-7dacce,Company_8,Pro,7056,7,25.0,0.75,False,0
A-1b9609,Company_5,Enterprise,11940,7,7.0,0.5,False,0
A-ad64c6,Company_175,Enterprise,66864,7,25.0,0.5,False,0
A-df1e44,Company_323,Pro,7056,7,33.0,0.5,False,0
A-df1e44,Company_323,Pro,7056,7,33.0,0.5,False,0
A-ccabf0,Company_471,Enterprise,140892,7,10.0,0.5,False,0
A-425e76,Company_110,Basic,3192,7,11.0,0.6,False,0
A-6dee43,Company_478,Pro,0,7,25.0,0.4,False,0
A-692f18,Company_195,Pro,7056,7,23.0,0.5,False,0
A-7dacce,Company_8,Pro,7056,7,25.0,0.75,False,0
A-8e47ca,Company_191,Enterprise,74028,7,26.0,0.6,False,0
A-8e47ca,Company_191,Enterprise,74028,7,26.0,0.6,False,0
A-8e47ca,Company_191,Enterprise,74028,7,26.0,0.6,False,0
A-249769,Company_214,Enterprise,16716,7,19.0,0.5,False,0
A-249769,Company_214,Enterprise,16716,7,19.0,0.5,False,0
A-425e76,Company_110,Basic,3192,7,11.0,0.6,False,0
A-1f7acb,Company_281,Enterprise,152832,7,64.0,0.42857142857142855,True,0
A-35083d,Company_27,Enterprise,45372,7,27.0,0.75,False,0
A-4bfa33,Company_251,Pro,4704,7,21.0,0.5,False,0
A-5247b3,Company_375,Pro,9408,7,19.0,0.4,False,0
A-65c341,Company_308,Pro,9996,7,33.0,0.6,False,0
A-65c341,Company_308,Pro,9996,7,33.0,0.6,False,0
A-4c56c9,Company_449,Basic,0,7,29.0,0.4,False,0
A-18793f,Company_488,Enterprise,0,7,24.0,0.4,False,0
A-1f0636,Company_368,Enterprise,250740,7,0.0,1.0,False,0
A-f6b2fb,Company_418,Enterprise,57312,7,20.0,0.4,False,0
A-1e50e0,Company_415,Pro,11172,7,26.0,0.5,False,0
A-4bfa33,Company_251,Pro,4704,7,21.0,0.5,False,0
A-df1e44,Company_323,Pro,7056,7,12.0,0.5,False,0
A-df1e44,Company_323,Pro,7056,7,12.0,0.5,False,0
A-6843f2,Company_335,Enterprise,50148,7,20.0,0.5,False,0
A-2ebb4b,Company_334,Enterprise,97908,7,32.0,0.5,False,0
A-1e50e0,Company_415,Pro,11172,7,26.0,0.5,False,0
A-2ebb4b,Company_334,Enterprise,97908,7,32.0,0.5,False,0
A-5247b3,Company_375,Pro,9408,7,19.0,0.4,False,0
A-8e47ca,Company_191,Enterprise,47760,7,33.0,0.6,False,0
A-7a0d69,Company_187,Basic,4560,7,21.0,0.5,False,0
A-0baac2,Company_264,Basic,4332,7,19.0,0.5,False,0
A-8e47ca,Company_191,Enterprise,47760,7,33.0,0.6,False,0
A-8e47ca,Company_191,Enterprise,47760,7,33.0,0.6,False,0
A-726cfa,Company_82,Pro,17640,7,33.0,0.6666666666666666,False,0
A-7a0d69,Company_187,Basic,4560,7,21.0,0.5,False,0
A-337bc1,Company_424,Pro,0,7,98.0,0.5,True,0
A-337bc1,Company_424,Pro,0,7,98.0,0.5,True,0
A-df1e44,Company_323,Enterprise,0,7,26.0,0.5,False,0
A-fe79a5,Company_81,Pro,0,7,27.0,0.5,False,0
A-7a0d69,Company_187,Basic,4560,7,21.0,0.5,False,0
A-ad64c6,Company_175,Basic,0,7,9.0,0.5,False,0
A-df1e44,Company_323,Enterprise,0,7,26.0,0.5,False,0
A-0b0d6d,Company_267,Enterprise,107460,7,33.0,0.4,False,0
A-4bfa33,Company_251,Pro,4704,7,21.0,0.5,False,0
A-0baac2,Company_264,Basic,4332,7,19.0,0.5,False,0
A-2ebb4b,Company_334,Basic,0,7,32.0,0.5,False,0
A-0baac2,Company_264,Basic,4332,7,19.0,0.5,False,0
A-bcf664,Company_248,Enterprise,16716,7,32.0,0.4,False,0
A-186a44,Company_101,Basic,4560,7,9.0,0.5714285714285714,False,0
A-d4ac0e,Company_364,Basic,4104,7,20.0,0.5,False,0
A-86fc1d,Company_328,Basic,8436,7,24.0,0.4,False,0
A-bc87bc,Company_456,Basic,1824,7,23.0,0.42857142857142855,False,0
A-3d957b,Company_311,Pro,17052,7,0.0,0.6666666666666666,False,0
A-726cfa,Company_82,Basic,3420,7,19.0,0.6666666666666666,False,0
A-bcf664,Company_248,Enterprise,16716,7,32.0,0.4,False,0
A-bcf664,Company_248,Enterprise,16716,7,32.0,0.4,False,0
A-dfbd31,Company_190,Basic,3192,7,31.0,0.5,False,0
A-337bc1,Company_424,Enterprise,81192,7,31.0,0.5,False,0
A-dfbd31,Company_190,Basic,3192,7,31.0,0.5,False,0
A-158f4e,Company_180,Pro,35868,7,18.0,0.4,False,0
A-158f4e,Company_180,Pro,35868,7,18.0,0.4,False,0
A-726cfa,Company_82,Basic,5472,7,30.0,0.6666666666666666,False,0
A-425e76,Company_110,Enterprise,21492,7,24.0,0.6,False,0
A-425e76,Company_110,Enterprise,21492,7,24.0,0.6,False,0
A-1f559b,Company_357,Pro,7056,7,29.0,0.4,False,0
A-425e76,Company_110,Enterprise,21492,7,24.0,0.6,False,0
A-798a3f,Company_463,Basic,9576,7,19.0,0.4,False,0
A-80eeb6,Company_402,Pro,0,7,76.0,0.5,True,0
A-80eeb6,Company_402,Pro,0,7,76.0,0.5,True,0
A-18793f,Company_488,Pro,87024,7,32.0,0.4,False,0
A-8ae05d,Company_147,Basic,0,7,10.0,1.0,False,0
A-e1b9cd,Company_484,Basic,9120,7,32.0,1.0,False,0
A-c9bb3e,Company_336,Basic,2280,7,9.0,0.42857142857142855,False,0
A-c9bb3e,Company_336,Basic,2280,7,9.0,0.42857142857142855,False,0
A-13466a,Company_196,Basic,0,7,15.0,0.6666666666666666,False,0
A-13466a,Company_196,Basic,0,7,15.0,0.6666666666666666,False,0
A-7df7a7,Company_125,Enterprise,16716,7,39.0,0.6666666666666666,True,0
A-ccb686,Company_491,Pro,11172,7,86.0,1.0,True,0
A-ccb686,Company_491,Pro,11172,7,86.0,1.0,True,0
A-ccb686,Company_491,Pro,11172,7,86.0,1.0,True,0
A-f1f639,Company_296,Enterprise,11940,7,17.0,0.42857142857142855,False,0
A-f1f639,Company_296,Enterprise,11940,7,17.0,0.42857142857142855,False,0
A-c9bb3e,Company_336,Enterprise,0,7,29.0,0.42857142857142855,False,0
A-c9bb3e,Company_336,Enterprise,0,7,29.0,0.42857142857142855,False,0
A-726cfa,Company_82,Enterprise,26268,7,29.0,0.6666666666666666,False,0
A-53f4e3,Company_194,Enterprise,31044,7,20.0,0.4,False,0
A-798a3f,Company_463,Enterprise,28656,7,30.0,0.4,False,0
A-425e76,Company_110,Enterprise,21492,7,24.0,0.6,False,0
A-337bc1,Company_424,Enterprise,81192,7,31.0,0.5,False,0
A-0baac2,Company_264,Basic,4332,7,19.0,0.5,False,0
A-dfbd31,Company_190,Pro,9996,7,23.0,0.5,False,0
A-10b8da,Company_9,Pro,8232,7,13.0,0.6666666666666666,False,0
A-dfbd31,Company_190,Pro,20580,7,53.0,0.5,True,0
A-dfbd31,Company_190,Pro,20580,7,53.0,0.5,True,0
A-075038,Company_397,Pro,0,7,21.0,1.0,False,0
A-35083d,Company_27,Enterprise,45372,7,22.0,0.75,False,0
A-b2225d,Company_50,Enterprise,0,7,31.0,1.0,False,0
A-b2225d,Company_50,Enterprise,0,7,31.0,1.0,False,0
A-b2225d,Company_50,Enterprise,0,7,31.0,1.0,False,0
A-54ecc2,Company_289,Pro,4116,7,45.0,0.4,True,0
A-2e4581,Company_0,Enterprise,69252,7,18.0,0.5,False,0
A-54ecc2,Company_289,Pro,4116,7,45.0,0.4,True,0
A-54ecc2,Company_289,Pro,4116,7,45.0,0.4,True,0
A-1b9609,Company_5,Enterprise,11940,7,7.0,0.5,False,0
A-2ebb4b,Company_334,Basic,0,7,32.0,0.5,False,0
A-2ebb4b,Company_334,Basic,0,7,32.0,0.5,False,0
A-dfbd31,Company_190,Pro,9996,7,23.0,0.5,False,0
A-7dacce,Company_8,Pro,7056,7,25.0,0.75,False,0
A-86fc1d,Company_328,Pro,32928,7,32.0,0.4,False,0
A-65aeb5,Company_120,Enterprise,0,7,12.0,0.5,False,0
A-65aeb5,Company_120,Enterprise,0,7,12.0,0.5,False,0
A-7c5768,Company_407,Basic,684,7,31.0,0.4,False,0
A-328bd0,Company_237,Pro,10584,7,49.0,0.4,True,0
A-2e4581,Company_0,Enterprise,69252,7,18.0,0.5,False,0
A-c37cab,Company_278,Pro,7644,7,99.0,0.5,True,0
A-c37cab,Company_278,Pro,7644,7,99.0,0.5,True,0
A-712533,Company_498,Basic,4104,7,22.0,0.4,False,0
A-0b0d6d,Company_267,Enterprise,85968,7,9.0,0.4,False,0
A-726cfa,Company_82,Pro,6468,7,28.0,0.6666666666666666,False,0
A-9a532a,Company_333,Enterprise,26268,7,27.0,0.5,False,0
A-0b0d6d,Company_267,Pro,12936,7,30.0,0.4,False,0
A-4bfa33,Company_251,Pro,42336,7,28.0,0.5,False,0
A-4bfa33,Company_251,Pro,42336,7,28.0,0.5,False,0
A-4bfa33,Company_251,Pro,42336,7,28.0,0.5,False,0
A-098560,Company_349,Pro,0,7,18.0,0.5,False,0
A-098560,Company_349,Pro,0,7,18.0,0.5,False,0
A-462d45,Company_13,Pro,6468,7,72.0,0.5,True,0
A-186a44,Company_101,Enterprise,112236,7,20.0,0.5714285714285714,False,0
A-249769,Company_214,Pro,6468,7,33.0,0.5,False,0
A-249769,Company_214,Pro,6468,7,33.0,0.5,False,0
A-1b9609,Company_5,Enterprise,11940,7,7.0,0.5,False,0
A-098560,Company_349,Basic,1596,7,25.0,0.5,False,0
A-fe79a5,Company_81,Enterprise,21492,7,7.0,0.5,False,0
A-e19ff6,Company_411,Pro,23520,7,28.0,0.6666666666666666,False,0
A-692f18,Company_195,Enterprise,69252,7,30.0,0.5,False,0
A-1e1b80,Company_416,Enterprise,119400,7,33.0,0.5,False,0
A-1e1b80,Company_416,Enterprise,119400,7,33.0,0.5,False,0
A-1e1b80,Company_416,Enterprise,119400,7,33.0,0.5,False,0
A-0651a4,Company_255,Enterprise,45372,7,33.0,0.75,False,0
A-781cc0,Company_499,Enterprise,28656,7,20.0,0.75,False,0
A-781cc0,Company_499,Enterprise,28656,7,20.0,0.75,False,0
A-e19ff6,Company_411,Pro,23520,7,28.0,0.6666666666666666,False,0
A-e19ff6,Company_411,Pro,23520,7,28.0,0.6666666666666666,False,0
A-9a532a,Company_333,Basic,0,7,27.0,0.5,False,0
A-6843f2,Company_335,Pro,12348,7,9.0,0.5,False,0
A-82d8a6,Company_444,Pro,19404,7,60.0,0.4,True,0
A-158f4e,Company_180,Pro,0,7,19.0,0.4,False,0
A-158f4e,Company_180,Pro,0,7,19.0,0.4,False,0
A-8ed5dd,Company_222,Pro,27048,7,19.0,0.5,False,0
A-8ed5dd,Company_222,Pro,27048,7,19.0,0.5,False,0
A-3d957b,Company_311,Basic,16644,7,14.0,0.6666666666666666,False,0
A-b2225d,Company_50,Enterprise,112236,7,31.0,1.0,False,0
A-4a4c2d,Company_473,Basic,0,7,16.0,0.4,False,0
A-0651a4,Company_255,Enterprise,45372,7,33.0,0.75,False,0
A-42e5e1,Company_118,Pro,588,7,77.0,0.6666666666666666,True,0
A-f5641b,Company_382,Enterprise,74028,7,18.0,0.5,False,0
A-72799b,Company_394,Pro,0,7,25.0,0.5,False,0
A-726cfa,Company_82,Basic,3192,7,21.0,0.6666666666666666,False,0
A-e1b9cd,Company_484,Basic,9120,7,19.0,1.0,False,0
A-fe79a5,Company_81,Enterprise,0,7,27.0,0.5,False,0
A-67be94,Company_276,Pro,15288,7,29.0,0.8,False,0
A-67be94,Company_276,Pro,15288,7,29.0,0.8,False,0
A-9a532a,Company_333,Enterprise,78804,7,20.0,0.5,False,0
A-1d5444,Company_427,Basic,5472,7,8.0,1.0,False,0
A-7df7a7,Company_125,Pro,4116,7,19.0,0.6666666666666666,False,0
A-8ae3fc,Company_495,Basic,4560,7,31.0,0.5,False,0
A-a1bbb6,Company_74,Pro,12348,7,22.0,0.6666666666666666,False,0
A-69b156,Company_396,Enterprise,16716,7,23.0,0.5714285714285714,False,0
A-bc87bc,Company_456,Enterprise,52536,7,29.0,0.42857142857142855,False,0
A-5f7781,Company_483,Pro,12936,7,30.0,1.0,False,0
A-f5641b,Company_382,Enterprise,74028,7,18.0,0.5,False,0
A-80eeb6,Company_402,Enterprise,52536,7,13.0,0.5,False,0
A-80eeb6,Company_402,Enterprise,52536,7,13.0,0.5,False,0
A-bcf664,Company_248,Enterprise,31044,7,25.0,0.4,False,0
A-bcf664,Company_248,Enterprise,31044,7,25.0,0.4,False,0
A-bcf664,Company_248,Enterprise,31044,7,25.0,0.4,False,0
A-425e76,Company_110,Basic,8436,7,29.0,0.6,False,0
A-425e76,Company_110,Basic,8436,7,29.0,0.6,False,0
A-a1bbb6,Company_74,Enterprise,21492,7,30.0,0.6666666666666666,False,0
A-72799b,Company_394,Enterprise,47760,7,18.0,0.5,False,0
A-1f0ac7,Company_3,Basic,7296,7,16.0,0.5,False,0
A-7c6b6b,Company_223,Pro,3528,7,25.0,0.4,False,0
A-fda07f,Company_230,Pro,19992,7,29.0,0.4,False,0
A-8ed5dd,Company_222,Basic,1140,7,14.0,0.5,False,0
A-8ed5dd,Company_222,Basic,1140,7,14.0,0.5,False,0
A-7c6b6b,Company_223,Pro,13524,7,31.0,0.4,False,0
A-05f0e5,Company_40,Pro,38220,7,25.0,0.5,False,0
A-05f0e5,Company_40,Pro,38220,7,25.0,0.5,False,0
A-8ae05d,Company_147,Pro,50568,7,17.0,1.0,False,0
A-7df7a7,Company_125,Pro,4116,7,70.0,0.6666666666666666,True,0
A-1f7acb,Company_281,Enterprise,152832,7,26.0,0.42857142857142855,False,0
A-186a44,Company_101,Basic,4560,7,65.0,0.5714285714285714,True,0
A-328bd0,Company_237,Pro,19404,7,17.0,0.4,False,0
A-328bd0,Company_237,Basic,4104,7,26.0,0.4,False,0
A-425e76,Company_110,Basic,8436,7,29.0,0.6,False,0
A-425e76,Company_110,Basic,8436,7,29.0,0.6,False,0
A-1e1b80,Company_416,Pro,31164,7,29.0,0.5,False,0
A-cc1d8d,Company_440,Enterprise,11940,7,18.0,0.4,False,0
A-1e1b80,Company_416,Pro,31164,7,29.0,0.5,False,0
A-1e1b80,Company_416,Pro,31164,7,29.0,0.5,False,0
